total_pop,occupied_units,renter_occupied,labor_force,unemployed,owner_no_vehicle,renter_no_vehicle,state,county,tract,block group,state_fips,county_fips,block_group,acs_data_year,pct_renter,pct_unemployed,pct_no_vehicle
1298,607,167,558,19,37,0,37,119,003022,1,37,119,1,2023,0.2751235584843493,0.034050179211469536,0.060955518945634266
1635,788,408,1274,122,49,0,37,119,005864,1,37,119,1,2023,0.5177664974619289,0.09576138147566719,0.06218274111675127
2572,1418,1194,1903,153,138,16,37,119,005927,2,37,119,2,2023,0.842031029619182,0.08039936941671046,0.10860366713681241
894,630,450,766,0,25,0,37,119,002500,2,37,119,2,2023,0.7142857142857143,0.0,0.03968253968253968
679,363,177,500,0,63,0,37,119,003111,2,37,119,2,2023,0.48760330578512395,0.0,0.17355371900826447
1919,1334,776,1715,19,182,79,37,119,000104,1,37,119,1,2023,0.5817091454272864,0.011078717201166181,0.1956521739130435
2005,786,303,1265,71,15,0,37,119,005811,1,37,119,1,2023,0.38549618320610685,0.05612648221343874,0.019083969465648856
967,488,488,791,20,0,0,37,119,006112,2,37,119,2,2023,1.0,0.025284450063211124,0.0
977,420,408,564,14,74,0,37,119,003102,3,37,119,3,2023,0.9714285714285714,0.024822695035460994,0.1761904761904762
1393,968,968,1293,35,168,0,37,119,000102,2,37,119,2,2023,1.0,0.027068832173240527,0.17355371900826447
1093,398,144,490,69,11,47,37,119,004000,4,37,119,4,2023,0.36180904522613067,0.14081632653061224,0.1457286432160804
1515,692,607,1071,80,44,0,37,119,005829,2,37,119,2,2023,0.8771676300578035,0.07469654528478058,0.06358381502890173
1243,836,476,1094,0,42,15,37,119,000102,1,37,119,1,2023,0.569377990430622,0.0,0.06818181818181818
1973,1250,1010,1454,27,17,0,37,119,002903,3,37,119,3,2023,0.808,0.018569463548830812,0.0136
3876,1368,1071,1947,31,199,0,37,119,005301,1,37,119,1,2023,0.7828947368421053,0.015921931176168466,0.14546783625730994
1121,519,300,647,0,17,9,37,119,001200,2,37,119,2,2023,0.5780346820809249,0.0,0.05009633911368015
750,558,505,638,0,31,0,37,119,000101,2,37,119,2,2023,0.9050179211469535,0.0,0.05555555555555555
1489,668,89,633,11,0,0,37,119,005855,3,37,119,3,2023,0.13323353293413173,0.017377567140600316,0.0
1330,754,45,453,9,0,0,37,119,002800,3,37,119,3,2023,0.05968169761273209,0.019867549668874173,0.0
1997,1034,468,1401,95,61,5,37,119,000800,1,37,119,1,2023,0.4526112185686654,0.06780870806566738,0.06382978723404255
3034,1280,1193,1868,112,115,11,37,119,001701,2,37,119,2,2023,0.93203125,0.059957173447537475,0.0984375
2725,1306,671,1667,98,18,0,37,119,005859,1,37,119,1,2023,0.5137825421133231,0.05878824235152969,0.013782542113323124
599,396,206,478,12,5,13,37,119,001000,2,37,119,2,2023,0.5202020202020202,0.02510460251046025,0.045454545454545456
2166,821,706,1192,30,54,0,37,119,005307,2,37,119,2,2023,0.8599269183922046,0.025167785234899327,0.06577344701583435
1389,1006,555,867,41,285,0,37,119,000503,1,37,119,1,2023,0.55168986083499,0.04728950403690888,0.28330019880715707
947,599,589,830,0,104,0,37,119,000402,1,37,119,1,2023,0.9833055091819699,0.0,0.17362270450751252
2253,906,323,1254,26,37,9,37,119,005840,1,37,119,1,2023,0.3565121412803532,0.02073365231259968,0.05077262693156733
2249,933,691,1328,61,24,10,37,119,005858,2,37,119,2,2023,0.7406216505894962,0.04593373493975904,0.03644158628081458
2568,1095,750,1598,54,30,14,37,119,005827,1,37,119,1,2023,0.684931506849315,0.03379224030037547,0.04018264840182648
214,147,11,127,10,0,0,37,119,005853,2,37,119,2,2023,0.07482993197278912,0.07874015748031496,0.0
1220,533,69,639,16,0,19,37,119,003204,3,37,119,3,2023,0.1294559099437148,0.025039123630672927,0.03564727954971857
0,0,0,0,0,0,0,37,119,980100,1,37,119,1,2023,,,
1026,481,425,542,0,51,0,37,119,001508,3,37,119,3,2023,0.8835758835758836,0.0,0.10602910602910603
2157,813,222,1095,24,0,0,37,119,005520,3,37,119,3,2023,0.2730627306273063,0.021917808219178082,0.0
1409,685,372,901,44,28,1,37,119,001701,1,37,119,1,2023,0.5430656934306569,0.048834628190899,0.042335766423357665
2608,852,160,1470,77,5,15,37,119,001921,1,37,119,1,2023,0.18779342723004694,0.05238095238095238,0.023474178403755867
843,397,251,275,11,108,22,37,119,004800,2,37,119,2,2023,0.6322418136020151,0.04,0.327455919395466
873,434,324,475,0,68,6,37,119,004000,2,37,119,2,2023,0.7465437788018433,0.0,0.17050691244239632
1628,771,403,711,38,152,26,37,119,005306,2,37,119,2,2023,0.522697795071336,0.053445850914205346,0.23086900129701687
1754,1164,1010,1567,62,99,26,37,119,005536,3,37,119,3,2023,0.8676975945017182,0.03956604977664327,0.10738831615120274
1526,451,0,478,60,0,0,37,119,005913,3,37,119,3,2023,0.0,0.12552301255230125,0.0
3074,1155,463,1734,20,47,0,37,119,005612,2,37,119,2,2023,0.40086580086580087,0.011534025374855825,0.04069264069264069
3905,1404,610,1884,141,17,0,37,119,001505,2,37,119,2,2023,0.43447293447293445,0.07484076433121019,0.012108262108262107
3548,1017,301,1563,96,0,14,37,119,005716,2,37,119,2,2023,0.295968534906588,0.061420345489443376,0.01376597836774828
1590,586,334,967,0,30,0,37,119,005406,2,37,119,2,2023,0.5699658703071673,0.0,0.051194539249146756
1962,1111,856,1308,0,128,0,37,119,003111,1,37,119,1,2023,0.7704770477047704,0.0,0.1152115211521152
1045,502,478,333,48,226,24,37,119,003903,1,37,119,1,2023,0.952191235059761,0.14414414414414414,0.49800796812749004
1563,918,832,1119,16,17,0,37,119,005511,2,37,119,2,2023,0.906318082788671,0.014298480786416443,0.018518518518518517
2496,913,839,1153,21,169,0,37,119,001910,1,37,119,1,2023,0.91894852135816,0.01821335646140503,0.1851040525739321
1299,546,348,1068,41,0,0,37,119,006110,1,37,119,1,2023,0.6373626373626373,0.03838951310861423,0.0
2129,1025,688,1341,62,16,0,37,119,001918,2,37,119,2,2023,0.671219512195122,0.04623415361670395,0.015609756097560976
700,325,287,370,44,17,0,37,119,005534,1,37,119,1,2023,0.8830769230769231,0.11891891891891893,0.052307692307692305
1642,849,849,1334,300,0,0,37,119,002005,2,37,119,2,2023,1.0,0.22488755622188905,0.0
2363,801,748,1277,85,105,0,37,119,001914,1,37,119,1,2023,0.9338327091136079,0.06656225528582616,0.13108614232209737
1307,718,77,642,0,23,0,37,119,005621,2,37,119,2,2023,0.10724233983286909,0.0,0.03203342618384401
2693,1312,1152,2043,140,97,0,37,119,005915,2,37,119,2,2023,0.8780487804878049,0.06852667645619187,0.07393292682926829
3969,1132,482,1616,53,112,14,37,119,005845,2,37,119,2,2023,0.42579505300353354,0.0327970297029703,0.11130742049469965
1121,592,347,871,52,17,11,37,119,001919,1,37,119,1,2023,0.5861486486486487,0.05970149253731343,0.0472972972972973
1542,794,520,931,17,66,0,37,119,002909,1,37,119,1,2023,0.654911838790932,0.018259935553168637,0.08312342569269521
2530,982,334,1639,109,23,51,37,119,005932,1,37,119,1,2023,0.34012219959266804,0.06650396583282489,0.07535641547861507
3756,1187,399,2034,112,30,19,37,119,005613,1,37,119,1,2023,0.33614153327716934,0.05506391347099312,0.041280539174389216
3220,1251,716,2093,178,33,0,37,119,001504,1,37,119,1,2023,0.5723421262989609,0.08504538939321549,0.026378896882494004
2648,926,891,891,214,444,0,37,119,002300,2,37,119,2,2023,0.9622030237580994,0.24017957351290684,0.4794816414686825
1525,1013,548,1133,7,31,23,37,119,003500,1,37,119,1,2023,0.5409674234945706,0.00617828773168579,0.05330700888450148
564,460,419,293,0,54,7,37,119,005829,1,37,119,1,2023,0.9108695652173913,0.0,0.13260869565217392
2233,1035,845,1512,80,183,0,37,119,005604,1,37,119,1,2023,0.8164251207729468,0.05291005291005291,0.17681159420289855
3826,1602,759,2502,129,9,0,37,119,005921,1,37,119,1,2023,0.4737827715355805,0.05155875299760192,0.0056179775280898875
3001,0,0,1307,341,0,0,37,119,005604,2,37,119,2,2023,,0.260902830910482,
1702,795,493,1184,2,48,0,37,119,003802,3,37,119,3,2023,0.620125786163522,0.0016891891891891893,0.06037735849056604
2012,1052,409,1602,36,0,0,37,119,004102,2,37,119,2,2023,0.3887832699619772,0.02247191011235955,0.0
1417,641,190,1003,0,0,0,37,119,003402,1,37,119,1,2023,0.296411856474259,0.0,0.0
953,582,582,707,19,33,0,37,119,005839,1,37,119,1,2023,1.0,0.026874115983026876,0.05670103092783505
1101,424,66,471,16,0,0,37,119,002903,2,37,119,2,2023,0.15566037735849056,0.03397027600849257,0.0
2451,828,360,1190,50,40,9,37,119,003106,1,37,119,1,2023,0.43478260869565216,0.04201680672268908,0.059178743961352656
1862,449,89,1061,83,0,0,37,119,006013,1,37,119,1,2023,0.19821826280623608,0.07822808671065033,0.0
1649,1176,1176,1610,15,30,0,37,119,003701,1,37,119,1,2023,1.0,0.009316770186335404,0.025510204081632654
1746,1061,805,1451,45,0,10,37,119,002400,1,37,119,1,2023,0.7587181903864278,0.031013094417643005,0.00942507068803016
2141,1022,503,1653,144,48,0,37,119,001400,2,37,119,2,2023,0.49217221135029354,0.08711433756805807,0.046966731898238745
1319,677,472,904,0,93,52,37,119,003600,2,37,119,2,2023,0.6971935007385525,0.0,0.21418020679468242
1630,747,436,913,16,17,47,37,119,002905,2,37,119,2,2023,0.5836680053547524,0.017524644030668127,0.0856760374832664
731,344,127,510,20,0,0,37,119,005815,2,37,119,2,2023,0.3691860465116279,0.0392156862745098,0.0
1746,661,251,888,12,0,0,37,119,002907,2,37,119,2,2023,0.37972768532526474,0.013513513513513514,0.0
514,307,296,399,0,0,0,37,119,005866,3,37,119,3,2023,0.9641693811074918,0.0,0.0
596,298,215,318,10,0,0,37,119,001801,3,37,119,3,2023,0.7214765100671141,0.031446540880503145,0.0
1559,761,335,1215,10,89,9,37,119,003201,2,37,119,2,2023,0.44021024967148487,0.00823045267489712,0.1287779237844941
921,396,93,621,0,9,27,37,119,003302,2,37,119,2,2023,0.23484848484848486,0.0,0.09090909090909091
670,519,504,666,3,31,0,37,119,000700,1,37,119,1,2023,0.9710982658959537,0.0045045045045045045,0.05973025048169557
1132,736,649,917,7,0,0,37,119,002910,2,37,119,2,2023,0.8817934782608695,0.007633587786259542,0.0
2014,898,898,1382,134,33,0,37,119,005866,2,37,119,2,2023,1.0,0.09696092619392185,0.036748329621380846
3104,1148,916,2122,25,281,0,37,119,005854,1,37,119,1,2023,0.7979094076655052,0.0117813383600377,0.24477351916376305
1436,401,174,642,32,4,25,37,119,005916,2,37,119,2,2023,0.4339152119700748,0.04984423676012461,0.07231920199501247
513,358,347,316,6,116,0,37,119,000302,2,37,119,2,2023,0.9692737430167597,0.0189873417721519,0.3240223463687151
2033,1181,1027,1514,57,0,0,37,119,005623,2,37,119,2,2023,0.869602032176122,0.037648612945838836,0.0
1561,897,617,1508,0,39,0,37,119,003805,1,37,119,1,2023,0.6878483835005574,0.0,0.043478260869565216
1823,1065,809,1508,5,0,62,37,119,000700,2,37,119,2,2023,0.7596244131455399,0.0033156498673740055,0.05821596244131456
1515,917,648,1211,35,12,0,37,119,002500,1,37,119,1,2023,0.7066521264994547,0.028901734104046242,0.013086150490730643
1569,877,848,1347,10,162,0,37,119,000502,1,37,119,1,2023,0.9669327251995439,0.007423904974016332,0.1847206385404789
1550,537,0,718,46,0,0,37,119,005846,1,37,119,1,2023,0.0,0.06406685236768803,0.0
1225,672,485,523,0,158,4,37,119,003802,2,37,119,2,2023,0.7217261904761905,0.0,0.24107142857142858
1449,716,418,708,25,95,55,37,119,004600,2,37,119,2,2023,0.5837988826815642,0.03531073446327684,0.20949720670391062
1422,554,105,614,16,0,0,37,119,003008,3,37,119,3,2023,0.18953068592057762,0.026058631921824105,0.0
1233,731,502,887,9,16,0,37,119,003600,1,37,119,1,2023,0.6867305061559508,0.010146561443066516,0.02188782489740082
1679,1113,831,1317,39,16,11,37,119,001000,3,37,119,3,2023,0.7466307277628033,0.029612756264236904,0.02425876010781671
1800,562,212,900,21,0,0,37,119,005405,2,37,119,2,2023,0.37722419928825623,0.023333333333333334,0.0
2432,953,24,1089,0,0,46,37,119,003013,2,37,119,2,2023,0.025183630640083946,0.0,0.048268625393494226
1676,830,502,1132,0,24,3,37,119,005529,1,37,119,1,2023,0.6048192771084338,0.0,0.03253012048192771
3028,1419,746,1877,58,134,1,37,119,005527,1,37,119,1,2023,0.525722339675828,0.03090037293553543,0.09513742071881606
1857,548,56,1175,74,0,14,37,119,005928,1,37,119,1,2023,0.10218978102189781,0.06297872340425532,0.025547445255474453
1164,513,389,745,87,27,6,37,119,005200,3,37,119,3,2023,0.7582846003898636,0.11677852348993288,0.06432748538011696
1903,580,233,1152,127,0,22,37,119,001917,1,37,119,1,2023,0.4017241379310345,0.11024305555555555,0.03793103448275862
326,235,206,247,27,7,0,37,119,001801,1,37,119,1,2023,0.8765957446808511,0.10931174089068826,0.029787234042553193
1628,768,411,1127,75,66,0,37,119,002600,1,37,119,1,2023,0.53515625,0.06654835847382432,0.0859375
565,273,182,303,0,0,0,37,119,004000,1,37,119,1,2023,0.6666666666666666,0.0,0.0
2796,1275,883,1719,53,109,0,37,119,001923,1,37,119,1,2023,0.6925490196078431,0.030831878999418267,0.08549019607843138
685,308,56,365,0,0,13,37,119,005301,2,37,119,2,2023,0.18181818181818182,0.0,0.04220779220779221
2302,926,601,1333,104,0,44,37,119,003809,2,37,119,2,2023,0.6490280777537797,0.07801950487621906,0.047516198704103674
2603,778,376,1247,202,25,0,37,119,001509,2,37,119,2,2023,0.4832904884318766,0.1619887730553328,0.032133676092544985
2999,1119,522,1667,72,0,6,37,119,006103,2,37,119,2,2023,0.46648793565683644,0.04319136172765447,0.005361930294906166
1639,930,856,1029,234,30,0,37,119,003008,2,37,119,2,2023,0.9204301075268817,0.22740524781341107,0.03225806451612903
498,278,160,251,0,23,0,37,119,005920,2,37,119,2,2023,0.5755395683453237,0.0,0.08273381294964029
372,266,107,118,0,91,51,37,119,004200,3,37,119,3,2023,0.40225563909774437,0.0,0.5338345864661654
1255,707,658,1210,26,11,0,37,119,003702,1,37,119,1,2023,0.9306930693069307,0.021487603305785124,0.015558698727015558
1663,853,294,793,0,13,0,37,119,005861,1,37,119,1,2023,0.34466588511137164,0.0,0.015240328253223915
2960,1315,689,1701,28,122,14,37,119,005850,1,37,119,1,2023,0.5239543726235741,0.01646090534979424,0.10342205323193916
2192,626,133,1161,117,33,45,37,119,005863,2,37,119,2,2023,0.2124600638977636,0.10077519379844961,0.12460063897763578
1617,637,152,1037,42,0,55,37,119,005843,2,37,119,2,2023,0.23861852433281006,0.040501446480231434,0.08634222919937205
1598,636,283,587,6,138,0,37,119,002908,3,37,119,3,2023,0.4449685534591195,0.010221465076660987,0.2169811320754717
992,481,299,709,16,17,0,37,119,005816,2,37,119,2,2023,0.6216216216216216,0.022566995768688293,0.035343035343035345
1023,475,102,464,0,0,17,37,119,002202,1,37,119,1,2023,0.21473684210526317,0.0,0.035789473684210524
3410,1017,173,1631,121,0,16,37,119,005918,3,37,119,3,2023,0.17010816125860373,0.07418761496014716,0.015732546705998034
1607,738,237,1102,59,0,0,37,119,005839,2,37,119,2,2023,0.32113821138211385,0.05353901996370236,0.0
1213,475,152,396,59,0,62,37,119,004600,1,37,119,1,2023,0.32,0.14898989898989898,0.13052631578947368
916,366,165,377,0,11,30,37,119,004400,1,37,119,1,2023,0.45081967213114754,0.0,0.11202185792349727
3651,990,862,1493,55,197,0,37,119,001702,4,37,119,4,2023,0.8707070707070707,0.036838580040187544,0.198989898989899
2843,1019,413,1593,84,0,0,37,119,001916,2,37,119,2,2023,0.4052993130520118,0.05273069679849341,0.0
2344,931,33,1254,69,9,0,37,119,005713,1,37,119,1,2023,0.03544575725026853,0.05502392344497608,0.00966702470461869
1332,555,307,627,75,114,21,37,119,004000,3,37,119,3,2023,0.5531531531531532,0.11961722488038277,0.24324324324324326
2323,612,61,1074,55,17,27,37,119,003810,1,37,119,1,2023,0.09967320261437909,0.051210428305400374,0.0718954248366013
0,0,0,0,0,0,0,37,119,980200,1,37,119,1,2023,,,
1289,452,432,520,79,85,1,37,119,003903,2,37,119,2,2023,0.9557522123893806,0.1519230769230769,0.1902654867256637
257,196,156,195,0,27,0,37,119,001100,2,37,119,2,2023,0.7959183673469388,0.0,0.1377551020408163
2579,1145,451,1331,44,0,0,37,119,005815,1,37,119,1,2023,0.39388646288209606,0.03305785123966942,0.0
1120,468,124,526,92,65,58,37,119,004500,2,37,119,2,2023,0.26495726495726496,0.17490494296577946,0.26282051282051283
1278,560,411,655,0,68,25,37,119,004200,4,37,119,4,2023,0.7339285714285714,0.0,0.16607142857142856
1628,694,275,710,19,107,0,37,119,005405,1,37,119,1,2023,0.3962536023054755,0.02676056338028169,0.15417867435158503
1073,792,690,786,0,52,0,37,119,005533,1,37,119,1,2023,0.8712121212121212,0.0,0.06565656565656566
2901,973,626,1138,0,199,0,37,119,001924,1,37,119,1,2023,0.6433710174717369,0.0,0.20452209660842754
2529,962,155,1266,37,27,0,37,119,005508,1,37,119,1,2023,0.16112266112266113,0.029225908372827805,0.028066528066528068
1617,915,783,917,27,160,0,37,119,000600,1,37,119,1,2023,0.8557377049180328,0.029443838604143947,0.17486338797814208
1102,793,716,971,48,47,6,37,119,000301,1,37,119,1,2023,0.9029003783102144,0.04943357363542739,0.06683480453972257
763,538,529,740,9,6,0,37,119,003401,1,37,119,1,2023,0.983271375464684,0.012162162162162163,0.011152416356877323
1594,640,0,896,11,0,0,37,119,003015,1,37,119,1,2023,0.0,0.012276785714285714,0.0
1645,246,246,343,0,66,0,37,119,000600,2,37,119,2,2023,1.0,0.0,0.2682926829268293
2694,1051,815,1299,66,135,0,37,119,001607,1,37,119,1,2023,0.7754519505233112,0.050808314087759814,0.12844909609895339
1531,808,59,894,3,0,0,37,119,005811,3,37,119,3,2023,0.07301980198019802,0.003355704697986577,0.0
1214,518,194,584,0,0,0,37,119,003019,2,37,119,2,2023,0.3745173745173745,0.0,0.0
1756,698,29,954,30,0,73,37,119,005719,2,37,119,2,2023,0.04154727793696275,0.031446540880503145,0.10458452722063037
2141,874,282,999,0,67,22,37,119,005404,1,37,119,1,2023,0.32265446224256294,0.0,0.10183066361556065
3859,1502,174,1940,24,36,14,37,119,005626,1,37,119,1,2023,0.11584553928095873,0.012371134020618556,0.033288948069241014
1314,761,700,1240,0,0,0,37,119,000402,2,37,119,2,2023,0.9198423127463863,0.0,0.0
802,508,305,493,8,42,8,37,119,004800,3,37,119,3,2023,0.6003937007874016,0.016227180527383367,0.0984251968503937
762,340,96,564,0,0,9,37,119,001702,2,37,119,2,2023,0.2823529411764706,0.0,0.026470588235294117
1019,470,89,599,33,0,0,37,119,005817,1,37,119,1,2023,0.18936170212765957,0.05509181969949917,0.0
1839,725,658,1043,42,88,11,37,119,003108,1,37,119,1,2023,0.9075862068965517,0.040268456375838924,0.13655172413793104
